CRuns,CRBI,CHits,CHmRun,CAtBat,RBI,Walks,CWalks,Hits,Runs,Salary
1070,955,1972,231,6986,46,60,921,96,49,733.333
107,124,283,15,1063,23,22,106,53,21,430.0
366,337,880,32,3053,78,58,218,174,67,657.0
796,627,1926,46,7318,18,15,483,54,21,430.0
45,39,68,9,288,21,19,35,41,26,95.0
106,86,210,21,831,68,21,40,145,66,155.0
58,37,125,7,524,11,18,47,40,23,90.0
132,83,232,19,822,49,57,79,167,89,210.0
181,199,519,26,1968,26,62,288,94,36,875.0
245,167,470,38,1556,50,77,174,163,88,750.0
702,705,1213,194,4405,23,45,625,55,34,1300.0
304,268,543,56,2128,31,22,298,39,18,275.0
126,132,308,27,1309,25,12,66,49,23,300.0
144,149,338,25,1313,33,30,153,55,24,430.0
753,596,1647,60,5952,29,14,259,71,27,430.0
273,383,671,97,2641,74,41,226,132,61,1008.333
763,734,1382,166,5201,95,90,784,137,90,900.0
30,9,42,1,214,8,21,24,37,23,70.0
93,106,185,22,730,77,60,86,140,73,200.0
166,125,329,24,1257,19,21,105,56,41,190.0
77,77,139,31,646,58,37,61,95,55,430.0
180,148,355,31,1359,31,32,158,69,35,277.5
363,477,880,83,3082,79,53,295,159,72,1043.333
266,304,665,43,2796,18,15,198,56,22,250.0
1033,864,1833,224,6890,30,39,1087,84,42,430.0
1104,1289,2163,351,7127,110,62,564,200,98,2412.5
643,658,1478,100,5233,43,65,653,104,57,430.0
66,41,117,11,408,41,34,34,117,66,120.0
338,406,771,110,3031,71,44,239,112,50,750.0
935,1088,2081,190,7186,37,18,643,70,22,325.0
192,186,467,15,1876,26,27,161,53,31,512.5
164,179,333,49,1335,25,35,194,58,28,340.0
106,80,227,22,927,44,21,52,120,53,185.0
545,652,994,215,3571,87,52,337,141,70,430.0
980,1032,2147,153,7472,72,55,854,133,48,773.333
285,274,555,80,2174,47,39,186,103,59,325.0
1135,1234,2083,305,7287,104,77,791,148,90,1861.46
906,926,1632,241,5589,67,53,716,114,67,430.0
224,266,457,63,1624,72,76,263,130,66,480.0
269,270,715,28,2543,32,19,118,88,40,430.0
102,109,142,44,652,86,72,102,108,75,215.0
297,319,610,92,2129,108,41,117,198,101,1175.0
178,192,344,43,1394,45,39,136,96,50,300.0
330,326,715,27,2482,74,32,158,183,80,775.0
616,522,1330,57,4618,32,26,436,94,37,600.0
324,300,657,48,2658,25,20,179,76,42,341.667
59,55,116,14,498,35,39,78,43,26,120.0
108,117,236,21,999,26,22,118,68,28,305.0
196,137,448,15,1518,65,27,89,213,91,350.0
121,69,230,14,969,30,30,68,93,47,150.0
249,322,658,50,2331,49,46,274,110,45,560.0
99,138,231,29,950,85,20,64,102,49,415.0
20,29,50,4,232,21,33,45,41,15,67.5
784,901,1615,235,5913,53,30,560,98,31,430.0
107,114,244,36,994,19,15,53,37,15,430.0
915,1067,1910,259,6840,47,26,546,77,45,700.0
128,104,238,16,961,42,61,172,68,42,191.0
188,135,325,30,1354,49,18,63,92,54,300.0
577,700,1123,212,4273,62,38,334,84,53,800.0
150,156,214,64,911,64,88,187,85,69,300.0
94,71,267,3,1089,28,36,76,86,38,250.0
379,428,808,81,2964,42,20,221,95,48,100.0
123,108,290,11,1064,29,23,55,96,37,275.0
247,288,516,90,1928,53,27,161,77,47,670.0
41,37,108,0,509,24,7,12,73,24,100.0
315,259,667,38,2682,33,16,204,63,25,341.667
369,384,686,133,2765,75,53,321,152,69,940.0
211,280,453,73,1649,51,29,138,78,37,500.0
309,103,510,4,1941,11,22,207,60,30,700.0
335,174,544,38,2130,47,36,258,110,70,490.0
80,75,170,17,638,33,18,36,60,28,137.0
156,159,405,28,1457,46,16,76,83,39,431.5
751,714,1543,104,5885,41,30,535,83,43,450.0
450,367,1066,40,3871,38,26,241,136,58,850.0
16,13,49,3,239,10,5,14,27,8,190.0
2165,1314,4256,160,14053,25,30,1566,52,15,750.0
377,284,895,39,3368,44,52,296,135,52,750.0
557,483,1222,94,4479,37,27,307,70,33,225.0
57,40,120,8,514,22,21,39,53,29,75.0
149,161,357,7,1399,59,34,87,138,56,160.0
379,311,806,32,2703,48,37,138,127,65,700.0
272,125,506,6,1775,27,36,194,124,67,550.0
399,366,753,69,2728,98,74,286,186,107,1300.0
167,198,326,55,1367,41,47,167,76,35,430.0
307,340,821,63,2872,52,53,174,147,56,1150.0
28,16,44,7,186,16,11,11,44,28,430.0
740,840,1552,210,5829,94,52,452,128,67,587.5
41,32,82,0,354,31,26,26,72,33,130.0
470,420,857,97,3198,60,78,332,144,85,960.0
244,288,583,69,2131,65,37,150,119,49,430.0
202,185,408,25,1568,26,26,257,61,32,430.0
219,208,452,44,1646,80,56,136,168,83,612.5
813,822,1388,266,5017,83,75,617,163,89,1900.0
72,31,129,1,618,24,29,48,99,46,87.5
615,430,1240,84,4291,47,37,340,141,77,525.0
438,380,939,78,3949,29,45,466,68,42,400.0
410,497,1102,67,3967,76,40,284,145,51,500.0
583,374,1169,13,4739,54,79,528,144,67,1940.0
1003,977,1767,281,6521,63,22,619,101,42,875.0
77,99,179,21,707,26,22,76,43,17,430.0
139,98,361,6,1407,18,25,111,69,33,430.0
1272,1652,2732,379,9778,29,25,925,51,14,430.0
1019,608,1661,154,6311,35,43,820,70,49,450.0
89,48,167,4,670,34,34,54,102,56,80.0
681,782,1051,268,4677,36,58,697,59,45,430.0
284,141,376,42,1516,33,47,219,84,62,400.0
217,93,433,7,1700,43,52,146,126,61,385.0
238,299,408,115,1770,60,35,157,82,42,425.0
433,420,750,126,2723,86,68,309,118,84,1300.0
699,386,1257,37,4992,27,21,387,84,46,430.0
604,314,1028,48,3372,62,78,469,194,91,430.0
488,491,1145,83,4061,22,3,244,61,17,235.0
730,741,1610,128,5779,46,23,497,93,35,430.0
612,344,1231,32,4484,27,44,422,113,44,430.0
32,34,86,6,341,32,8,8,81,26,75.0
828,838,1575,225,5628,78,37,354,141,65,500.0
643,445,1323,56,5134,27,17,459,52,31,400.0
99,103,205,22,815,86,45,78,142,67,105.0
218,149,426,11,1619,50,47,163,159,82,475.0
116,64,270,1,1115,15,11,57,56,27,230.0
105,99,219,12,854,17,20,71,43,24,286.667
300,263,549,62,2051,55,34,153,131,77,780.0
226,149,397,17,1546,52,76,191,113,76,425.0
313,377,822,55,2954,58,25,187,104,50,750.0
216,208,568,16,2140,44,20,93,85,30,362.5
63,39,123,8,507,33,52,58,103,53,105.0
1172,1267,2172,384,8716,55,41,1057,77,36,200.0
965,1128,1845,312,7058,36,44,990,70,42,1050.0
6,7,9,2,41,0,0,4,1,0,2127.333
117,107,192,32,756,32,9,51,57,34,247.5
2,4,6,0,33,4,7,7,6,2,430.0
96,72,218,6,948,43,61,91,101,46,195.0
246,327,604,61,2331,56,40,166,129,50,750.0
76,75,160,24,680,54,35,49,112,54,135.0
978,1093,2024,247,6727,116,56,495,174,89,1041.667
544,462,1130,97,4040,51,28,551,70,32,365.0
88,95,238,9,937,18,17,104,46,19,430.0
630,435,1358,48,4933,29,33,403,77,35,450.0
33,38,86,4,278,38,45,45,86,33,110.0
983,707,1839,121,6126,58,35,600,150,69,1000.0
1115,919,1954,195,7402,41,44,1153,63,36,430.0
429,365,866,59,3573,36,66,410,94,42,535.0
32,22,68,2,312,22,24,24,68,32,70.0
148,173,260,53,985,101,64,95,152,91,215.0
68,94,151,24,630,60,25,55,76,35,155.0
676,390,1203,79,4139,55,40,364,123,62,1260.0
250,252,566,29,1966,48,29,178,154,61,580.0
39,32,87,4,312,32,23,23,84,35,430.0
969,900,1840,128,6090,83,94,917,171,94,1800.0
50,55,101,16,382,55,22,22,101,50,97.5
451,249,834,40,3015,45,32,168,110,61,800.0
195,219,351,71,1506,52,37,214,76,33,385.0
862,417,1182,103,4071,74,89,708,160,130,1670.0
67,32,103,2,440,32,71,71,103,65,100.0
101,110,228,23,853,26,27,76,53,18,430.0
97,48,209,10,702,19,20,44,69,32,430.0
262,201,587,35,1928,96,34,91,223,119,365.0
207,162,493,9,1897,28,54,198,103,48,326.667
557,279,916,23,3859,19,42,478,45,38,430.0
55,43,109,3,426,43,62,62,109,55,115.0
376,290,825,36,3231,27,30,238,43,29,240.0
698,661,1634,98,6631,23,15,777,44,21,275.0
575,528,948,145,3828,39,56,635,83,50,600.0
219,195,462,40,1689,79,38,82,184,83,630.0
581,421,1193,70,4338,36,40,325,103,48,430.0
1048,1348,2402,242,8396,25,12,819,32,14,500.0
420,230,872,19,3070,56,59,274,210,91,90.0
87,110,164,28,592,96,61,71,138,76,145.0
82,88,135,30,540,88,55,55,135,82,172.0
461,301,1046,32,3651,46,13,112,119,57,850.0
82,100,172,22,593,100,57,57,172,82,165.0
986,1239,1925,348,7023,42,24,666,64,30,430.0
67,82,180,24,727,22,14,56,32,16,135.0
266,323,571,86,2303,56,35,248,106,48,430.0
784,890,1332,253,5206,66,65,866,92,49,1100.0
166,122,336,7,1350,23,18,106,49,41,375.0
32,32,59,2,226,29,23,27,53,30,70.0
100,125,286,23,1188,26,17,63,47,24,430.0
24,37,58,12,216,36,19,19,56,22,90.0
1043,827,2019,153,7037,46,62,535,163,82,1000.0
117,64,187,9,667,45,58,88,127,77,202.5
352,230,770,27,2364,59,52,193,211,107,740.0
578,579,1397,83,5590,42,57,644,91,41,825.0
349,182,633,32,2308,37,81,308,152,92,625.0
20,16,42,3,201,15,11,11,39,20,430.0
405,474,815,117,2816,91,71,319,147,85,1310.0
34,12,61,1,241,12,14,14,61,34,430.0
419,382,890,74,3327,28,18,304,47,20,450.0
634,563,1307,113,4478,72,39,319,168,80,1200.0
135,163,339,32,1337,30,29,128,68,26,425.0
310,226,541,52,2020,78,26,91,157,90,640.0
349,401,737,93,2223,113,53,171,238,117,1975.0
492,589,1077,140,3754,88,38,263,169,72,950.0
83,82,220,9,888,23,30,86,70,26,250.0
712,815,1397,221,5347,96,52,548,131,69,850.0
529,472,927,133,3210,81,70,313,177,98,1350.0
27,25,54,2,216,25,33,33,54,27,75.0
196,110,353,16,1258,29,39,117,97,55,210.0
371,230,684,46,2516,14,14,195,57,23,430.0
1072,1050,2095,209,6675,73,80,695,128,70,1500.0
30,29,66,1,293,29,14,14,66,30,430.0
1045,993,2273,177,8068,75,73,732,158,89,775.0
703,519,1578,44,5562,44,35,256,126,42,737.5
18,10,44,2,196,9,16,18,39,13,75.0
265,316,636,58,2358,84,42,134,158,70,662.5
494,345,902,74,3146,76,46,242,178,68,740.0
58,69,113,24,416,69,16,16,113,58,90.0
211,146,403,12,1716,45,51,155,122,67,350.0
295,273,614,43,2288,45,43,269,90,50,450.0
2,3,4,1,19,3,1,1,4,2,920.0
987,1089,2130,235,7099,75,41,431,140,46,430.0
361,401,728,107,2862,108,52,224,171,91,900.0
34,23,58,6,181,23,22,22,58,34,86.5
445,491,1000,113,3400,78,49,301,148,64,700.0
901,1210,1575,442,6677,94,33,608,118,70,430.0
118,69,210,9,926,15,22,114,53,31,225.0
66,106,209,14,884,37,27,92,59,20,430.0
442,198,747,17,2695,51,70,317,163,92,765.0
441,401,1029,35,3926,39,21,333,61,24,430.0
80,46,149,8,591,36,22,31,108,55,110.0
51,44,94,12,342,43,33,33,91,51,125.0
156,119,184,45,711,71,68,99,115,97,300.0
129,139,256,42,1136,29,24,106,47,21,245.0
210,203,398,47,1416,77,33,136,131,68,550.0
1082,949,1785,291,6661,97,97,989,137,86,933.333
743,693,1583,131,6100,84,43,300,154,76,750.0
505,456,1062,85,3919,29,22,283,74,34,737.5
71,33,160,8,580,23,26,44,75,38,140.0
27,31,80,5,290,28,13,15,66,20,90.0
518,324,979,33,3910,26,32,382,66,31,250.0
181,177,323,54,1258,42,49,157,93,43,350.0
1175,1152,1947,347,7761,85,91,1380,122,78,535.0
160,123,298,28,1350,57,48,122,114,67,475.0
38,46,108,6,450,37,16,28,73,23,110.0
292,343,471,108,1810,93,72,267,123,76,1220.0
291,108,491,13,1931,18,22,180,73,32,708.333
884,1015,1679,275,5624,84,78,709,151,61,2460.0
242,251,489,67,1924,62,74,240,116,60,600.0
724,522,1320,93,4704,73,63,576,157,95,420.0
129,80,271,3,1038,47,12,24,137,58,175.0
205,204,392,41,1512,61,47,203,113,48,550.0
278,328,602,75,2235,90,87,273,160,86,430.0
65,23,102,5,479,8,15,39,46,24,175.0
210,222,404,57,1447,121,32,68,200,108,250.0
421,349,874,16,3162,61,73,359,141,48,925.0
20,12,28,0,159,0,2,9,3,1,430.0
775,357,1457,30,4908,44,31,249,170,77,1000.0
379,198,656,18,2421,36,29,184,80,42,430.0
1141,1179,1982,315,7546,94,62,727,139,93,950.0
258,192,565,32,2079,21,29,162,69,24,430.0
579,363,1150,57,4086,14,15,406,42,17,900.0
150,167,259,54,1085,71,54,114,120,71,175.0
747,666,1429,166,5150,53,39,526,101,45,675.0
352,342,715,77,2648,70,84,289,146,71,815.0
444,419,900,92,3118,51,31,240,120,54,600.0
145,154,299,40,1185,39,31,128,54,30,297.5
168,91,249,36,978,49,65,101,152,105,200.0
